What is the pen name of the author whose real name was Samuel Clemens who is most famous for his story <i>The Adventures of Tom Sawyer</i>?,Mark Twain,literature,56
"Which female writer created the series of novels about the four March sisters, the first of which being titled <i>Little Women</i>?",Louisa May Alcott,literature,56
Which author created the character Long John Silver for the novel <i>Treasure Island</i>?,Robert Louis Stevenson,literature,56
What book by J.K. Rowling is the first in the series about young wizard students studying in a castle called Hogwarts?,Harry Potter and the Sorcerer’s Stone,literature,56
"Which author created the magical world of Narnia in <i>The Lion, The Witch, and The Wardrobe?</i>",C.S. Lewis,literature,56
"Which element is the lightest of all elements and has the chemical symbol ""H""?",Hydrogen,elements,56
"Which element has the chemical symbol ""K"" and is an important mineral found in bananas that helps your muscles work properly?",Potassium,elements,56
"Which element has the chemical symbol ""B"" and is commonly used to make strong, heat-resistant glass like the kind used in kitchen measuring cups?",Boron,elements,56
"Which element has the chemical symbol ""C"" and is found in both the graphite in your pencil and in sparkling diamonds?",Carbon,elements,56
"Which element that makes up about 78% of the air we breathe every day has the chemical symbol ""N""?",Nitrogen,elements,56
"Which President served in the French & Indian War, is known as the ""Father of His Country"", and was the first person to hold the office of President of the United States?",George Washington,presidents,56
Which President was a lawyer who defended British soldiers after the Boston Massacre and later became the second President of the United States?,John Adams,presidents,56
Which President wrote the Declaration of Independence and doubled the size of the United States by purchasing the Louisiana Territory from France? He’s the 3rd President of the United States.,Thomas Jefferson,presidents,56
"Which President is known as the ""Father of the Constitution"" and was the shortest U.S. president at only 5 feet 4 inches tall? He was the 4th to hold the office.",James Madison,presidents,56
Which President was the last Founding Father to hold the office and created the Monroe Doctrine that warned European countries to stay out of North and South America? He was the 5th President.,James Monroe,presidents,56
Which city where Rosa Parks refused to give up her bus seat is also the capitol of Alabama?,Montgomery,capitols,56
Which capitol city of “The Last Frontier” state can only be reached by boat or airplane because no roads connect it to the rest of North America?,Juneau,capitols,56
Which state capitol is located in the Sonoran Desert and is one of the hottest major cities in the United States?,Arizona,capitols,56
What is the capitol city of the state where Bill Clinton was born?,Little Rock,capitols,56
Which capitol city shares its name with a famous river where people searched for gold during the California Gold Rush of 1849?,Sacramento,capitols,56
